,Animais,Produtos,Nome,Descrição,Especificações,Peso,Preço,Imagem
0,Cachorro,Ração Seca,Ração Special Dog Premium Carne para Cães Adultos,"A Ração Special Dog Premium Carne para Cães Adultos contém 21% de proteínas, ômegas 3 e 6 que promovem ao seu cachorro uma pelagem, exuberante, saudável e macia. Sua fórmula é rica em ingredientes especiais, para garantir uma vida ativa, longa e mais feliz!","- Indicado para cães adultos; - Não contém corantes; - Enriquecido com vitaminas: o equilíbrio entre as vitaminas é fator determinante para a vitalidade e o bem-estar diário do seu animal; - Fezes mais firmes: a mistura dos ingredientes reduz a umidade das fezes, deixando-as mais firmes e favorecendo as condições do ambiente; - Complex Life: formulado com minerais orgânicos, o Complex Life é facilmente absorvido pelo organismo, otimizando seus benefícios à saúde do animal; - Ômegas 3 E 6 + Zinco Orgânico: A combinação entre os ácidos graxos essenciais e o zinco orgânico contribui para a proteção da pele e a redução da queda de pelos, resultando em uma pelagem mais bonita e brilhante.",20 KG,"148,41",https://www.petlove.com.br/images/products/268686/hd_no_extent/Ra%C3%A7%C3%A3o_Special_Dog_Premium_Carne_para_C%C3%A3es_Adultos_1777282_1.jpg?1684848615
1,Cachorro,Ração Seca,Ração Premier Pet Ambientes Internos Cães Filhotes Frango e Salmão,"Cães Filhotes que vivem dentro de casa, em contato próximo com seus donos, têm necessidades nutricionais especiais. A Ração Premier Pet Ambientes Internos Cães Filhotes Sabor Frango e Salmão é o primeiro alimento Super Premium específico para filhotes com este estilo de vida. Sua fórmula exclusiva contém somente ingredientes nobres, conferindo um excelente sabor, pelagem muito mais bonita e saudável, fezes em menor volume e odor reduzido. É um alimento completo e balanceado que satisfaz 100% das necessidades nutricionais do seu filhote, proporcionando ossos, músculos e dentes mais fortes. Por isso, não é recomendado nenhum tipo de suplementação.","- Pelagem bonita e pele saudável: rico em proteínas de alta qualidade e equilíbrio ideal de ácidos graxos essenciais - ômegas 3 e 6; - Sabor excepcional: utilização de ingredientes de alta qualidade que agradam aos paladares mais exigentes; - Desenvolvimento excelente: níveis ótimos de proteínas, energia, vitaminas e minerais. Enriquecido com DHA, ômega 3 essencial ao aprendizado dos filhotes.",12 KG,"248,33",https://www.petlove.com.br/images/products/266108/hd_no_extent/Ra%C3%A7%C3%A3o_Premier_Pet_Ambientes_Internos_C%C3%A3es_Filhotes_Frango_e_Salm%C3%A3o_-_12_Kg_3108262-3_1.jpg?1674081497
2,Cachorro,Ração Seca,Ração GranPlus Choice Frango e Carne para Cães Adultos,"A Ração GranPlus Choice Frango e Carne para Cães Adultos é um alimento completo e equilibrado que proporciona aos cães adultos o nível ideal de todos os ingredientes para auxiliá-los a se manterem fortes e saudáveis. Além disso, é formulado com proteínas de origem animal de alta qualidade e é indicado para cães adultos de todos os portes.","- Manutenção da massa muscular, com fontes nobres de proteína; - Este produto possui satisfação garantida. Saiba mais abaixo na descrição; - Nutrição equilibrada, nível ideal de nutrientes para auxiliar na manutenção da saúde e na formação de fezes firmes; - Ossos e dentes saudáveis, com vitaminas e minerais que auxiliam na manutenção de ossos e dentes saudáveis.",20 kg,"183,51",https://www.petlove.com.br/images/products/270272/hd_no_extent/Ra%C3%A7%C3%A3o_GranPlus_Choice_Frango_e_Carne_para_C%C3%A3es_Adultos_3109089_FRENTE.jpg?1687955680
3,Cachorro,Ração Seca,Ração Fórmula Natural Life Super Premium para Cães Adultos Raças Mini e Pequena,"A Ração Fórmula Natural Life Super Premium para Cães Adultos Raças Mini e Pequena oferece todos os cuidados a partir de um ano de idade. Com um conceito natural do produto às embalagens, a Fórmula Natural foi formulada para promover uma vida mais saudável, longeva e de bem-estar para cães e gatos. A linha oferece versões para diferentes portes e idades e proporciona entre outros benefícios, cuidados com a pele e pelagem, equilíbrio da flora intestinal e antioxidantes naturais.","- Ômega 3 e 6: Garantia de pele, pelos e articulações saudáveis; - Auxilia no crescimento, nas defesas, equilíbrio da flora intestinal; - Maior palatabilidade, alimento completo, equilibrado e nutritivo; - Livre da adição de componentes químicos como: corantes e transgênicos; - Melhora significativa no pelo e pelagem, muito mais brilhantes e sedosos; - Indicado para cães que vivem em ambiente interno (apartamento ou casa); - DHA: Essencial no desenvolvimento do cérebro e do sistema nervoso central; - Condroitina e glucosamina: Substâncias fundamentais para tratamento das articulações; - Vitamina E, vitamina C, selênio e antioxidantes naturais (chá verde, hortelã e alecrim), combatem os radicais livres; - As fibras especiais, prebióticos, probióticos e extrato de yucca, ajudam na formação de fezes mais firmes e com menos odor; - Não possui embalagem fracionada.",15 kg,"258,21",https://www.petlove.com.br/images/products/243631/hd_no_extent/1_3107895_Ra%C3%A7%C3%A3o-F%C3%B3rmula-Natural-Super-Premium-para-C%C3%A3es-Adultos-Ra%C3%A7as-Mini-e-Pequena.jpg?1628875695
4,Cachorro,Ração Seca,Ração Royal Canin para Cães Adultos da Raça Golden Retriever - 12 Kg,"A RaçãoRoyal Canin para Cães Adultos da Raça Golden Retriever, é completa super premium indicada para cães adultos da raça Golden Retriever, com mais de 15 meses de idade. Contém ácidos graxos ómega-3, e óleo de borragem. Todos estes nutrientes ajudam a suportar uma função de barreira cutânea saudável que, por sua vez, contribui para o aspecto saudável do pelo. Graças principalmente à combinação de ácidos graxos e um enriquecimento de taurina, também ajuda a apoiar a função cardíaca saudável. Tem um conteúdo calórico adaptado - o que significa que também ajuda a manter o peso ideal. Além disso, o croquete é feito à medida exclusivamente para o Golden Retriever, a forma e tamanho é especialmente adaptado às preferências desta raça particular.","- Com transgênico; - Ração super premium indicada para cachorros adultos da raça Golden Retriever; - Formato e textura exclusivamente desenvolvido para estimular a mastigação; - Maior sensação de saciedade por ter formato menos denso; - Promove um envelhecimento saudável; - Beleza da Pelagem: Otimiza a beleza da pelagem do Golden Retriever graças a presença do ômega 6, biotina e aminoácidos sulfurados; - Ajuda a manter a saúde da pele e pelagem; - Ajuda a manter a saúde da função cardíaca; - Auxilia na manutenção do peso ideal através de um conteúdo calórico apropriado; - A fórmula, tamanho, formato e textura dos croquetes são adaptados para o Golden Retriever;",12 kg,"395,99",https://www.petlove.com.br/images/products/212520/hd_no_extent/Ra%C3%A7%C3%A3o_Royal_Canin_para_C%C3%A3es_Adultos_da_Ra%C3%A7a_Golden_Retriever_-_12_Kg_31017056.jpg?1627682468
5,Cachorro,Ração Seca,Ração Special Dog Gold Premium Especial Frango e Carne para Cães Adultos,"A Ração Special Dog Gold Premium Especial para Cães Adultos é um alimento Premium Especial, completo e balanceado indicado para cães adultos. Elaborado por veterinários, possui ingredientes especiais em sua fórmula, como a batata-doce e a condroitina.","- Sabor Frango e Carne; - Indicado para cães adultos; - Contém Farinha de Batata-Doce: Fonte nobre de energia que favorece o metabolismo energético; - Contém Condroitina que inibe a degradação da cartilagem e contribui para o fortalecimento das articulações; - Extrato de Yucca: reduz o odor das fezes em até 50%, favorecendo as condições do ambiente; - Complex Life: formulado com minerais orgânicos, o Complex Life é facilmente absorvido pelo organismo, otimizando seus benefícios à saúde do animal; - Ômegas 3 E 6 + Zinco Orgânico: A combinação entre os ácidos graxos essenciais e o zinco orgânico contribui para a proteção da pele e a redução da queda de pelos, resultando em uma pelagem mais bonita e brilhante.",20 kg,"188,91",https://www.petlove.com.br/images/products/268696/hd_no_extent/Ra%C3%A7%C3%A3o_Special_Dog_Gold_Premium_Especial_Frango_e_Carne_para_C%C3%A3es_Adultos_1777508_1.jpg?1684848798
6,Cachorro,Ração Seca,Ração Seca PremieR Pet Golden Seleção Natural para Cães Filhotes,"A Ração Seca PremieR Pet Golden Seleção Natural para Cães Filhotes Contém complexo de 6 vegetais, como fonte de fibras e sais minerais, baixo teor de sódio para ressaltar o sabor natural dos ingredientes, sem corantes e aromatizantes artificiais e sem ingredientes transgênicos, a linha Golden Seleção Natural é a melhor escolha para que seu pet tenha uma alimentação de acordo com seu estilo de vida.","- Auxilia a redução da formação do tártaro, favorece a pele nutrida e pelagem sedosa; - Intestino saudável: combinação de nutrientes de alta digestibilidade e fibras naturais; - Redução do odor das fezes: seleção de ingredientes especiais que auxiliam na redução do odor das fezes.",10 KG,"147,59",https://www.petlove.com.br/images/products/248962/hd_no_extent/filhotes.jpg?1634230124
7,Cachorro,Ração Seca,Ração Seca Quatree Supreme Frango e Batata Doce Cães Filhotes Raças Médias e Grandes,"A Ração Seca Quatree Supreme Frango e Batata Doce Cães Filhotes Raças Médias e Grandes é um alimento Super Premium formulado especificamente para atender as exigências de cães filhotes de portes médio e grande. Oferece quantidade ideal de energia, proteínas, cálcio e fósforo para auxiliar no crescimento forte e saudável. Possui em sua formulação glucosamina e condroitina, que contribuem para a formação dos ossos e das articulações. É rico em DHA, que auxilia o desenvolvimento da visão e do sistema nervoso central. Contém antioxidantes naturais e prebióticos para proporcionar mais vigor e energia para o seu filhote. Indicado também para fêmeas a partir da sexta semana de gestação até o desmame total dos filhotes.","- Alimento balanceado, fórmula livre de corantes e aromatizantes artificiais; - Biotina, zinco e ômega 3 e 6: favorece a pele saudável e pelagem brilhante; - DHA: importante para o desenvolvimento da atividade cognitiva e visão; - Alta palatabilidade: proteínas de valor biológico para a formação da massa muscular; - Rica em antioxidantes, vitaminas C e E, polifenóis de maçã, chá verde, tocoferol e selênio; - Auxilia na saúde intestinal e diminuição do odor das fezes: fibras funcionais naturais, polpa de beterraba, prebióticos (MOS e FOS) e extrato de Yucca.",15 KG,"259,26",https://www.petlove.com.br/images/products/250997/hd_no_extent/Ra%C3%A7%C3%A3o_Seca_Quatree_Supreme_Frango_e_Batata_Doce_C%C3%A3es_Filhotes_Ra%C3%A7as_M%C3%A9dias_e_Grandes.jpg?1637340956
8,Cachorro,Ração Seca,Ração Seca Pedigree para Cães Filhotes Raças Médias e Grandes,"Seu filhote começa a conhecer o mundo ao seu redor farejando e mordendo tudo o que encontra, por isso ele precisa fortalecer seu organismo. A Ração Seca Pedigree para Cães Filhotes Raças Médias e Grandes tem uma receita especial para que seu cachorro cresça seguro e saudável. PEDIGREE® oferece a nutrição profissional que seu cão necessita para estar saudável em cada etapa de sua vida. Alimente seu cachorro com PEDIGREE® Filhote, uma refeição nutricionalmente completa. As receitas de PEDIGREE® são desenvolvidas com base na ciência do Centro de Pesquisas WALTHAM, a maior autoridade mundial no cuidado e nutrição de animais de estimação.","- Ração Premium 100% completa e balanceada, feita especialmente para cães filhotes; - Composição livre de corantes artificiais, com fibras naturais para uma ótima digestão; - Receita especial para que seu cachorro cresça seguro com desenvolvimento saudável; - 23 vitaminas e minerais que ajudam o cachorro filhote a se manter forte e saudável; - Com proteína para músculos fortes e ômega 6 para pele e pelo saudáveis do filhote.",18 KG,"212,9",https://www.petlove.com.br/images/products/272237/hd_no_extent/2513333_Ra%C3%A7%C3%A3o_Pedigree_Carne_Frango_e_Cereais_C%C3%A3es_Filhotes_-_18_Kg_1.jpg?1692904969
9,Cachorro,Ração Seca,Ração Special Dog Prime para Cães Adultos de Raças Médias,"A Ração Special Dog Prime para Cães Adultos de Raças Médias é um alimento Super Premium, completo e balanceado para cães adultos de todos os portes. Elaborado por veterinários, possui fontes protéicas de alta qualidade, prebióticos e fibras para o perfeito funcionamento do intestino. Seu uso miniza a formação de cálculos dentários e protege as articulações.","- Não contém corantes; - Indicado para cães adultos; - Prebiótico MOS + Fibras especiais: essa combinação contribui para a vitalidade; - Fator 25: fontes nobres de proteínas selecionadas para um ótimo aproveitamento dos aminoácidos; - Hexametafosfato: importante para o cuidado oral diário, pois minimiza a formação dos cálculos dentários; - Extrato de Yucca: reduz o odor das fezes em até 50%, favorecendo as condições do ambiente; - Glicosamina e Condroitina: A Glicosamina regula a formação do colágeno na cartilagem e a Condroitina inibe a degradação da cartilagem, resultando em efeitos benéficos nas articulações.",15 kg,"242,9",https://www.petlove.com.br/images/products/268828/hd_no_extent/Ra%C3%A7%C3%A3o_Special_Dog_Prime_para_C%C3%A3es_Adultos_de_Ra%C3%A7as_M%C3%A9dias_1781261_1.jpg?1684926764
